Episode,Date,Names,Gender,Title,Participation_Status,State,Country,Month_Name,Counter,Ratings,Country_Abb
Episode 1,01/09/2021,Badmus Rashford,Female,Professionals,Active,Kaduna,India,September,0,3.5646779379710942,IND
Episode 1,01/09/2021,Babatunde Purple,Female,Business Owners,Active,Ogun,United States of America,September,0,3.714367134425995,USA
Episode 1,01/09/2021,Joshua Ahamad,Female,Business Owners,Active,Benue,Germany,September,0,3.065525611819339,DEU
Episode 1,01/09/2021,Ruth Caroline,Female,Professionals,Active,Ondo,France,September,0,3.0832809018006264,FRA
Episode 1,01/09/2021,Stephen Purple,Female,Business Owners,Active,Taraba,Belgium,September,0,3.592971063897325,BEL
Episode 1,01/09/2021,Sekinat Stones,Female,Professionals,Active,Kwara,United Arab Emirates,September,0,4.723487639466649,ARE
Episode 1,01/09/2021,Joshua Caroline,Female,Business Owners,Active,Oyo,Belgium,September,0,3.2197971374513448,BEL
Episode 1,01/09/2021,Sekinat Stones,Female,Professionals,Active,Kano,Canada,September,0,3.3735980106919112,CAN
Episode 1,01/09/2021,Temitope Salahudeen,Female,Professionals,Active,Kaduna,India,September,0,4.289009260245592,IND
Episode 1,01/09/2021,Blessing Purple,Female,Professionals,Active,Kano,United States of America,September,0,3.1956485126479044,USA
Episode 1,01/09/2021,Blessing Stones,Female,Business Owners,Active,Taraba,France,September,0,3.763280068663142,FRA
Episode 1,01/09/2021,Babatunde Genesis,Female,Business Owners,Active,Edo,China,September,0,4.694852777687864,CHN
Episode 1,01/09/2021,Ruth Islam,Female,Business Owners,Active,Plateau,United States of America,September,0,3.3563815397122143,USA
Episode 1,01/09/2021,Johnson Plater,Female,Professionals,Active,Taraba,India,September,0,3.830346967406796,IND
Episode 1,01/09/2021,Mohammed Islam,Female,Business Owners,Active,Anambra,Canada,September,0,4.4322402907869884,CAN
Episode 1,01/09/2021,Blessing Rocks,Female,Professionals,Active,Edo,France,September,0,4.00249234556192,FRA
Episode 1,01/09/2021,Ruth Salahudeen,Female,Professionals,Active,Kano,India,September,0,4.1061301155344125,IND
Episode 1,01/09/2021,Kabiru Rashford,Female,Professionals,Active,Oyo,Nigeria,September,0,4.380159900407694,NGA
Episode 1,01/09/2021,Joshua Rocks,Female,Professionals,Active,Rivers,Qatar,September,0,4.846549179877919,QAT
Episode 1,01/09/2021,Joshua Genesis,Female,Professionals,Active,Ondo,Belgium,September,0,3.700323875316487,BEL
Episode 1,01/09/2021,Stephen Ahamad,Female,Professionals,Active,Bayelsa,United Arab Emirates,September,0,3.1350536482667706,ARE
Episode 1,01/09/2021,Johnson Ahamad,Female,Professionals,Active,Benue,Germany,September,0,3.0766987515038364,DEU
